,,,
조별과제,참여자 이름,대화 유형,내용
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,네
1,A(1),대답,넵
1,A(1),대답,네
1,A(1),대답,제가 6이랑 7할게요
1,A(1),대답,네
1,A(1),대답,넵
1,A(1),의견 및 일정 조율,저 그때 ktx 타서 안 되는데 오후 10시나 아니몀 7시 이전에 가능하신가요?
1,A(1),의견 및 일정 조율,저 8시 안 되면 오후 2시나 오후 11시 20분 쯤에 가능할 것 같아요
1,A(1),의견 및 일정 조율,슬랙 허들로 오면 되나요
1,A(1),의견 및 일정 조율,언제ㅠ어디서 포스터 만들기 시작하나요?
1,A(1),의견 및 일정 조율,프린트 하는 거는 다음주 월요일에 가지고 오는 거였나요?
1,A(1),의견 및 일정 조율,혹시 지금 이현님 전화 가능하신 분 계신가요? 아까 저 저녁 약속에 갔을때 이현님이랑 만났었는데 술을 많이 드신것 같아요
1,A(1),의견 및 일정 조율,대충 한 사람당 2개 포스터 평가 쓰고 개인 평가 각자 일요일 밤 11시 전까지 하는거 어때요?
1,A(1),의견 및 일정 조율,내일 Uss 오는 시간 그대로죠?
1,A(1),의견,만나서 하면 허들을 안 켜도 되지 않나요?
1,A(1),의견,어떤거 수정하면 되나요?
1,A(1),의견,가능하면 지금할 수 있나요?
1,A(1),의견,ai나 번역기 안쓰셨죠? 안썼는데 ai 표절로 뜨면 어떻게 하냐고 물어볼게요
1,A(1),의견,그리고 지피티가 쓴거 띄어쓰기 형식이 달라서 지피티가 쓴거 그대로 복붙하면 바로 걸린데요 한번 다른데에 똑같이 쓰고 복붙하는게 좋을 것 같아요
1,A(1),의견,causes 돌려볼게요
1,A(1),의견,제가 다시 고쳐볼게요
1,A(1),의견,그 copykiller 말고 GPTzero로 돌려보니까 95퍼 human 이라고 뜨는데 뭘 믿어야 할까요?
1,A(1),의견,어떻게 해야하지
1,A(1),의견,잠시만요 빠진거 없나 다시 확인할게요
1,A(1),의견,어떤거 하면 되나요
1,A(1),의견,ai라고 쓰여 있던거 고쳐봤는데 어떤가요
1,A(1),의견,한번 바꿔보고 전체 문서 돌려볼가요?
1,A(1),의견,안되어있기는 한데 그부분 빼고 수정해 볼까요?
1,A(1),의견,일요일에 할까요?
1,A(1),의견,저번에 했던거 복붙하면 되나요?
1,A(1),자료,혹시 모르님가 이 사진 포함에서 오늘했던거 다 올려도 될것 같아요
1,A(1),자료,https://docs.google.com/presentation/d/1yuveTADLB00GugvTGqjLMHnvDu9sxFAX/edit?slide=id.p1#slide=id.p1
1,A(1),자료,사진
1,A(1),자료,https://docs.google.com/document/d/1vzsP0omX-VsQXfpGG48d2yxxFFhXfM1i/edit?usp=sharing&ouid=110083953321775785040&rtpof=true&sd=true
1,A(1),자료,사진
1,A(1),자료,근데 올려주신 사진 보면 포스터에 assigned role 쓰라고 되어있는 것 같은데 맞나요?
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,표절율 48에서 10퍼센트 떨어졌긴 한데 why this matter 부분이랑 solution 부분에서 ai 떠요
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,사진
1,A(1),자료,오늘 11시 전까지 포스터랑 표 다씁시다
1,A(1),자료,https://www.canva.com/design/DAGqxy_RzBE/DGoaYzPn1MhxGihSFKbAJg/edit
1,A(1),자료,사진
1,A(1),자료,이현님 표도 채워야해요
1,A(1),자료,lxp에 제출했고 comment에 링크 달게요
1,A(1),자료,사진
1,A(1),자료,이 표?
1,A(1),자료,사진
1,A(1),잡담,.
1,A(1),잡담,이미 오후 11시로정한거 아니였나요
1,A(1),잡담,6시쯤 되나요
1,A(1),잡담,"저 1, 2번 볼게요"
1,A(1),잡담,저 8시 안 될 것 같아요
1,A(1),잡담,Design Thinking Framework:
1,A(1),잡담,법학관에서 만나는게 아닌가요 인터넷으로 하나요?
1,A(1),잡담,3층어떤가요?
1,A(1),잡담,이거 포스터 다 만들면 여기에도 써야되나요?
1,A(1),잡담,포스터는 끝인가요?
1,A(1),잡담,한번 물어볼까요?
1,A(1),잡담,바꿨어요
1,A(1),잡담,이거 써주세요
1,A(1),잡담,Students’ signatures 이거 보면 학생들의 사인도 받아야 할 것 같아요
1,A(1),잡담,많으면 점수 깎인다는 내용이 있나요?
1,A(1),잡담,한번 물어볼까요?
1,A(1),잡담,저희 ai 검사 48펀데 줄여야할 것 같아요
1,A(1),잡담,solution이랑 why this matter 부분에서 높게 나왔어요
1,A(1),잡담,이 부분 말고는 ai 안떠요
1,A(1),잡담,causes도 높게 나왔어요
1,A(1),잡담,그 다시 쓰신 것도 ai 100percent 떴어요 ㅠㅠ
1,A(1),잡담,100퍼센트 떠요 ㅠㅠ
